Draw Date,1,2,3,4,5,Mega Ball,Megaplier
"Fri, Oct 19, 2018",65,53,23,15,70,7,2X
"Tue, Oct 16, 2018",69,45,61,3,49,9,5X
"Fri, Oct 12, 2018",70,24,46,4,61,7,3X
"Tue, Oct 09, 2018",54,22,39,20,60,18,3X
"Fri, Oct 05, 2018",41,32,27,69,28,12,2X
"Tue, Oct 02, 2018",2,29,34,31,22,1,3X
"Fri, Sep 28, 2018",39,56,45,52,59,15,3X
"Tue, Sep 25, 2018",48,32,8,61,16,12,2X
"Fri, Sep 21, 2018",11,52,64,2,1,9,4X
"Tue, Sep 18, 2018",43,32,31,63,68,17,2X
"Fri, Sep 14, 2018",40,66,23,30,43,13,4X
"Tue, Sep 11, 2018",62,51,15,30,67,19,2X
"Fri, Sep 07, 2018",8,68,10,54,41,10,2X
"Tue, Sep 04, 2018",2,25,44,35,7,3,3X
"Fri, Aug 31, 2018",7,18,45,32,29,17,3X
"Tue, Aug 28, 2018",33,34,20,3,41,20,3X
"Fri, Aug 24, 2018",6,1,18,13,49,8,2X
"Tue, Aug 21, 2018",57,38,19,14,16,11,3X
"Fri, Aug 17, 2018",47,32,1,56,31,3,2X
"Tue, Aug 14, 2018",44,26,11,45,46,11,2X
"Fri, Aug 10, 2018",3,42,22,12,1,6,5X
"Tue, Aug 07, 2018",13,21,62,2,15,2,5X
"Fri, Aug 03, 2018",30,60,28,54,9,2,2X
"Tue, Jul 31, 2018",35,64,15,69,12,9,2X
"Fri, Jul 27, 2018",49,1,63,40,32,20,3X
"Tue, Jul 24, 2018",19,2,4,1,29,20,3X
"Fri, Jul 20, 2018",44,14,30,62,1,1,2X
"Tue, Jul 17, 2018",61,40,66,67,41,12,5X
"Fri, Jul 13, 2018",39,22,68,21,59,2,2X
"Tue, Jul 10, 2018",28,56,70,1,17,14,3X
"Fri, Jul 06, 2018",56,50,46,2,10,16,3X
"Tue, Jul 03, 2018",68,13,45,35,49,23,2X
"Fri, Jun 29, 2018",68,49,32,2,47,23,4X
"Tue, Jun 26, 2018",39,25,60,29,17,19,2X
"Fri, Jun 22, 2018",44,11,6,2,27,20,2X
"Tue, Jun 19, 2018",13,28,11,70,65,14,3X
"Fri, Jun 15, 2018",37,51,11,1,47,6,2X
"Tue, Jun 12, 2018",70,3,5,1,8,3,2X
"Fri, Jun 08, 2018",33,56,30,14,44,13,2X
"Tue, Jun 05, 2018",48,52,33,41,22,4,2X
"Fri, Jun 01, 2018",24,52,62,5,66,17,3X
"Tue, May 29, 2018",58,2,67,11,55,2,3X
"Fri, May 25, 2018",68,64,51,11,14,25,4X
"Tue, May 22, 2018",36,16,21,17,48,9,3X
"Fri, May 18, 2018",53,9,26,64,66,11,2X
"Tue, May 15, 2018",44,49,21,61,34,21,2X
"Fri, May 11, 2018",38,14,40,70,53,22,3X
"Tue, May 08, 2018",64,67,39,8,15,13,2X
"Fri, May 04, 2018",10,4,12,18,5,21,4X
"Tue, May 01, 2018",55,70,2,20,7,1,4X
"Fri, Apr 27, 2018",38,2,63,66,29,11,2X
"Tue, Apr 24, 2018",48,32,3,19,31,10,3X
"Fri, Apr 20, 2018",32,45,1,18,15,4,2X
"Tue, Apr 17, 2018",47,44,34,65,12,22,4X
"Fri, Apr 13, 2018",8,9,42,32,59,10,4X
"Tue, Apr 10, 2018",43,31,5,13,53,20,2X
"Fri, Apr 06, 2018",33,51,67,16,54,20,4X
"Tue, Apr 03, 2018",39,4,29,62,42,14,2X
"Fri, Mar 30, 2018",59,46,28,11,31,1,3X
"Tue, Mar 27, 2018",25,56,7,43,59,13,3X
"Fri, Mar 23, 2018",59,53,23,4,8,17,3X
"Tue, Mar 20, 2018",14,38,51,70,64,9,3X
"Fri, Mar 16, 2018",26,52,33,1,13,11,3X
"Tue, Mar 13, 2018",6,30,61,60,58,17,5X
"Fri, Mar 09, 2018",18,46,17,66,7,22,4X
"Tue, Mar 06, 2018",1,4,39,35,26,22,5X
"Fri, Mar 02, 2018",60,64,28,24,42,8,4X
"Tue, Feb 27, 2018",10,38,17,21,43,23,3X
"Fri, Feb 23, 2018",13,58,11,19,7,9,4X
"Tue, Feb 20, 2018",24,43,17,19,23,14,3X
"Fri, Feb 16, 2018",38,48,58,14,53,16,3X
"Tue, Feb 13, 2018",5,46,15,49,12,1,4X
"Fri, Feb 09, 2018",28,41,34,47,46,14,3X
"Tue, Feb 06, 2018",25,14,48,17,58,25,3X
"Fri, Feb 02, 2018",17,40,4,1,14,4,3X
"Tue, Jan 30, 2018",29,57,49,42,41,24,3X
"Fri, Jan 26, 2018",27,38,43,16,10,1,4X
"Tue, Jan 23, 2018",31,30,55,6,2,7,4X
"Fri, Jan 19, 2018",49,3,23,66,17,23,3X
"Tue, Jan 16, 2018",3,29,59,23,11,18,3X
"Fri, Jan 12, 2018",46,17,33,60,18,24,4X
"Tue, Jan 09, 2018",16,29,67,31,65,23,3X
"Fri, Jan 05, 2018",70,59,30,28,39,10,3X
